Organization,Country,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date
Realbuzz,Italy,Transportation & Logistics,Medium,Michael Brown,2/25/2024,Custom solution,Opportunity,5,Nurturing,3,6543,40,1/28/2025,
Vimbo,Germany,Entertainment & Media & Hospitality,Medium,Kevin Anderson,4/10/2024,Custom solution,Opportunity,5,Nurturing,3,4577,20,7/27/2024,
Rhynoodle,Austria,Government Administration Healthcare,Medium,David Wilson,3/4/2024,Services,Opportunity,5,Nurturing,3,2169,70,1/31/2025,
"Green, Block and Mayer",Austria,IT & IT Services,Medium,Kevin Anderson,5/21/2024,SAAS,Opportunity,5,Nurturing,3,5718,40,8/11/2024,
Morissette LLC,Belgium,Government Administration Healthcare,Medium,Michael Brown,5/21/2024,SAAS,Opportunity,5,Nurturing,3,4346,50,7/27/2024,
"Stoltenberg, Labadie and Spencer",Portugal,Energy & Utilities,Medium,Laura Thompson,2/13/2024,SAAS,Opportunity,5,Nurturing,3,4200,100,6/4/2024,
"Ondricka, Lubowitz and O'Connell",Netherlands,Manufacturing & Production,Medium,Laura Thompson,1/14/2024,SAAS,Opportunity,5,Nurturing,3,7387,100,11/16/2024,
Dickinson and Sons,Italy,Banking and Finance,Medium,Laura Thompson,3/28/2024,Services,Opportunity,5,Nurturing,3,3777,20,10/30/2024,
Waelchi Group,France,Transportation & Logistics,Medium,Sarah Davis,5/16/2024,Custom solution,Opportunity,5,Nurturing,3,5951,20,5/7/2025,
Stanton-Mayert,Italy,Professional Services  & Consulting,Medium,Kevin Anderson,4/9/2024,SAAS,Opportunity,5,Nurturing,3,7344,60,2/11/2025,
Rath-Harvey,Netherlands,Energy & Utilities,Medium,John Smith,1/30/2024,SAAS,Opportunity,5,Nurturing,3,732,10,6/13/2024,
Zboncak-Lebsack,Switzerland,IT & IT Services,Medium,John Smith,1/29/2024,Custom solution,Opportunity,5,Nurturing,3,3550,70,4/25/2024,
"Franecki, Rath and Roob",France,Retail & Distribution,Medium,Jessica Martinez,4/22/2024,SAAS,Opportunity,5,Nurturing,3,4610,20,4/8/2025,
Koch-Harvey,Switzerland,Retail & Distribution,Medium,Jessica Martinez,2/28/2024,SAAS,Opportunity,5,Nurturing,3,2071,70,6/8/2024,
Ankunding-Pfeffer,France,Professional Services  & Consulting,Medium,Sarah Davis,1/2/2024,Services,Opportunity,5,Nurturing,3,911,40,11/11/2024,
Johnson-Funk,Portugal,Agriculture & Mining,Medium,John Smith,2/4/2024,SAAS,Opportunity,5,Nurturing,3,7703,40,5/27/2024,
"Rodriguez, Rippin and Dooley",Italy,Telecommunications,Medium,David Wilson,1/31/2024,Services,Opportunity,5,Nurturing,3,7134,30,11/29/2024,
"Larson, Carter and Bins",Germany,Banking and Finance,Medium,Laura Thompson,2/20/2024,Custom solution,Opportunity,5,Nurturing,3,1184,50,1/26/2025,
Jenkins Group,Switzerland,Retail & Distribution,Medium,John Smith,3/7/2024,Custom solution,Opportunity,5,Nurturing,3,767,70,6/2/2024,
"Bahringer, Crist and Reynolds",Austria,Banking and Finance,Medium,Jessica Martinez,5/9/2024,SAAS,Opportunity,5,Nurturing,3,4296,50,5/7/2025,
Ledner Group,Germany,IT & IT Services,Medium,Michael Brown,1/29/2024,Services,Opportunity,5,Nurturing,3,1395,30,6/17/2024,
Bode-Schiller,Spain,Telecommunications,Medium,Sarah Davis,5/29/2024,Services,Opportunity,5,Nurturing,3,1440,40,10/2/2024,
"Kessler, Mitchell and Torp",France,Entertainment & Media & Hospitality,Medium,Kevin Anderson,3/19/2024,SAAS,Opportunity,5,Nurturing,3,3831,40,5/16/2024,
Powlowski and Sons,Germany,IT & IT Services,Medium,Kevin Anderson,5/21/2024,SAAS,Opportunity,5,Nurturing,3,678,40,2/19/2025,
Davis Inc,Switzerland,Retail & Distribution,Medium,Laura Thompson,5/29/2024,SAAS,Opportunity,5,Nurturing,3,535,40,7/23/2024,
"Kuhic, Fadel and Herman",Switzerland,Transportation & Logistics,Medium,Jessica Martinez,4/27/2024,SAAS,Opportunity,5,Nurturing,3,6841,40,12/5/2024,
"Ward, Heathcote and Mante",Spain,Manufacturing & Production,Medium,Emily Johnson,3/3/2024,Custom solution,Opportunity,5,Nurturing,3,5122,40,3/25/2024,
Schaefer-Stroman,Portugal,Agriculture & Mining,Medium,Kevin Anderson,3/8/2024,Services,Opportunity,5,Nurturing,3,3449,50,9/18/2024,
"Williamson, Thiel and Ratke",Switzerland,Education & Science,Medium,Laura Thompson,1/10/2024,Custom solution,Opportunity,5,Nurturing,3,1989,30,6/2/2024,
"Grimes, Murray and Pfannerstill",France,IT & IT Services,Medium,Jessica Martinez,1/28/2024,Services,Opportunity,5,Nurturing,3,7029,50,12/22/2024,
"Bruen, Morar and McLaughlin",Germany,Professional Services  & Consulting,Medium,Sarah Davis,1/8/2024,SAAS,Opportunity,5,Nurturing,3,431,60,7/6/2024,
Sporer-Wolff,Belgium,Transportation & Logistics,Medium,Laura Thompson,1/8/2024,Services,Opportunity,5,Nurturing,3,3731,50,7/29/2024,
"Upton, Mosciski and Hane",Netherlands,Entertainment & Media & Hospitality,Medium,Michael Brown,5/15/2024,SAAS,Opportunity,5,Nurturing,3,3030,20,6/11/2024,
Schulist LLC,Germany,Recreation & Sports,Medium,David Wilson,4/30/2024,Services,Opportunity,5,Nurturing,3,7169,20,10/6/2024,
"Cummings, Green and Ritchie",Italy,Banking and Finance,Medium,Sarah Davis,1/5/2024,Services,Opportunity,5,Nurturing,3,5386,40,6/11/2024,
Raynor-Graham,Netherlands,Professional Services  & Consulting,Medium,Kevin Anderson,4/9/2024,SAAS,Opportunity,5,Nurturing,3,1299,50,8/30/2024,
"Durgan, Raynor and Leuschke",Portugal,Transportation & Logistics,Medium,Laura Thompson,3/12/2024,Services,Opportunity,5,Nurturing,3,534,50,2/7/2025,
Rogahn-Ratke,Belgium,Education & Science,Medium,Michael Brown,4/1/2024,SAAS,Opportunity,5,Nurturing,3,1785,20,7/6/2024,
Nikolaus-Kirlin,Italy,Retail & Distribution,Medium,Jessica Martinez,4/22/2024,SAAS,Opportunity,5,Nurturing,3,7551,20,10/16/2024,
"Becker, Kris and Medhurst",Italy,Professional Services  & Consulting,Medium,Michael Brown,5/8/2024,SAAS,Opportunity,5,Nurturing,3,5017,60,3/23/2025,
Schmitt-Block,France,Telecommunications,Medium,David Wilson,4/30/2024,SAAS,Opportunity,5,Nurturing,3,7055,70,2/19/2025,
Pfeffer-Cronin,Switzerland,Transportation & Logistics,Medium,Sarah Davis,3/26/2024,Custom solution,Opportunity,5,Nurturing,3,2713,50,2/21/2025,
"Wunsch, Reilly and Blick",France,Telecommunications,Medium,Laura Thompson,3/22/2024,Custom solution,Opportunity,5,Nurturing,3,3423,60,12/22/2024,
Daniel-Murphy,Portugal,Government Administration Healthcare,Medium,Jessica Martinez,5/14/2024,SAAS,Opportunity,5,Nurturing,3,7899,50,8/11/2024,
"Klein, Gislason and O'Reilly",Netherlands,Government Administration Healthcare,Medium,Laura Thompson,3/12/2024,Services,Opportunity,5,Nurturing,3,5182,70,1/28/2025,
"Kiehn, Frami and Lehner",Germany,IT & IT Services,Medium,John Smith,2/29/2024,SAAS,Opportunity,5,Nurturing,3,4640,50,7/22/2024,
Shields Group,Switzerland,Transportation & Logistics,Medium,Jessica Martinez,1/3/2024,Custom solution,Opportunity,5,Nurturing,3,1778,60,11/27/2024,
Metz-Heller,Italy,Retail & Distribution,Medium,Emily Johnson,1/13/2024,Services,Opportunity,5,Nurturing,3,2485,10,9/28/2024,
Kling Group,France,Telecommunications,Medium,David Wilson,4/4/2024,Services,Opportunity,5,Nurturing,3,805,30,3/6/2025,
Mann-Heathcote,Netherlands,Government Administration Healthcare,Medium,Laura Thompson,2/6/2024,Services,Opportunity,5,Nurturing,3,4919,20,9/25/2024,
Durgan-Haag,Portugal,Construction & Engineering,Medium,Jessica Martinez,1/3/2024,Services,Opportunity,5,Nurturing,3,1009,30,8/28/2024,
Ortiz-Greenfelder,Portugal,Transportation & Logistics,Medium,Laura Thompson,3/4/2024,Custom solution,Opportunity,5,Nurturing,3,4587,60,5/29/2024,
Labadie-Moore,France,IT & IT Services,Medium,Laura Thompson,1/11/2024,SAAS,Opportunity,5,Nurturing,3,728,80,11/20/2024,
Kertzmann Inc,Germany,Banking and Finance,Medium,Laura Thompson,5/13/2024,SAAS,Opportunity,5,Nurturing,3,2331,40,6/29/2024,
"Langosh, Bruen and Koelpin",Germany,Transportation & Logistics,Medium,Emily Johnson,3/24/2024,Services,Opportunity,5,Nurturing,3,4073,30,10/19/2024,
Olson Inc,Italy,Professional Services  & Consulting,Medium,Michael Brown,2/28/2024,Services,Opportunity,5,Nurturing,3,5905,10,4/15/2024,
McKenzie-Farrell,Germany,IT & IT Services,Medium,John Smith,5/6/2024,SAAS,Opportunity,5,Nurturing,3,2950,100,6/20/2024,
"Osinski, Blick and Morar",Portugal,Government Administration Healthcare,Medium,Laura Thompson,2/28/2024,SAAS,Opportunity,5,Nurturing,3,6122,10,6/4/2024,
Schultz-Flatley,Italy,Banking and Finance,Medium,Emily Johnson,2/26/2024,Services,Opportunity,5,Nurturing,3,7780,80,12/14/2024,
Doyle-Haley,Belgium,Professional Services  & Consulting,Medium,Emily Johnson,2/21/2024,SAAS,Opportunity,5,Nurturing,3,3253,40,10/25/2024,
Miller Inc,Spain,Telecommunications,Medium,Sarah Davis,4/6/2024,Services,Opportunity,5,Nurturing,3,4301,60,2/7/2025,
"Stokes, Harris and Douglas",Belgium,Construction & Engineering,Medium,John Smith,5/4/2024,SAAS,Opportunity,5,Nurturing,3,6505,80,11/18/2024,
"Schoen, Hermann and Bechtelar",Portugal,IT & IT Services,Medium,John Smith,2/25/2024,Custom solution,Opportunity,5,Nurturing,3,5576,10,2/14/2025,
"Deckow, Runolfsdottir and Schuppe",Switzerland,Manufacturing & Production,Medium,Laura Thompson,4/4/2024,Services,Opportunity,5,Nurturing,3,1462,60,11/2/2024,
"Lehner, Larson and Roberts",Italy,Government Administration Healthcare,Medium,Michael Brown,2/18/2024,Services,Opportunity,5,Nurturing,3,2795,70,8/1/2024,
Dickinson Inc,France,Entertainment & Media & Hospitality,Medium,Michael Brown,3/11/2024,SAAS,Opportunity,5,Nurturing,3,1713,40,4/27/2024,
Cormier Group,Italy,Transportation & Logistics,Medium,Sarah Davis,1/23/2024,Custom solution,Opportunity,5,Nurturing,3,1681,50,3/24/2024,
Donnelly Inc,France,Banking and Finance,Medium,Emily Johnson,1/30/2024,SAAS,Opportunity,5,Nurturing,3,5011,10,9/7/2024,
Mante-Hermann,Italy,Transportation & Logistics,Medium,David Wilson,4/16/2024,Custom solution,Opportunity,5,Nurturing,3,5828,20,6/28/2024,
"Pollich, Simonis and Kerluke",Germany,Government Administration Healthcare,Medium,Jessica Martinez,1/29/2024,SAAS,Opportunity,5,Nurturing,3,5159,40,1/1/2025,
"Leannon, Breitenberg and Crist",Portugal,Transportation & Logistics,Medium,Sarah Davis,5/29/2024,Services,Opportunity,5,Nurturing,3,3808,40,7/14/2024,
Mueller-Glover,Italy,Retail & Distribution,Medium,Jessica Martinez,5/3/2024,Custom solution,Opportunity,5,Nurturing,3,4480,50,6/18/2024,
"Towne, Mills and Kuhlman",Belgium,Government Administration Healthcare,Medium,Sarah Davis,1/26/2024,SAAS,Opportunity,5,Nurturing,3,710,40,5/16/2024,
Durgan Group,France,Transportation & Logistics,Medium,John Smith,3/8/2024,Services,Opportunity,5,Nurturing,3,7963,20,5/10/2024,
Wehner LLC,Italy,Agriculture & Mining,Medium,Michael Brown,4/12/2024,SAAS,Opportunity,5,Nurturing,3,5180,70,11/23/2024,
"Crooks, Corwin and Stoltenberg",Switzerland,Retail & Distribution,Medium,Kevin Anderson,3/26/2024,SAAS,Opportunity,5,Nurturing,3,1016,20,4/26/2024,
Flatley-Hansen,Portugal,Telecommunications,Medium,Michael Brown,2/4/2024,SAAS,Opportunity,5,Nurturing,3,3851,30,10/10/2024,
"Herman, Hansen and Kerluke",France,Retail & Distribution,Medium,Kevin Anderson,5/13/2024,SAAS,Opportunity,5,Nurturing,3,1140,90,12/25/2024,
"Mraz, Murazik and Kling",Switzerland,Construction & Engineering,Large,John Smith,3/23/2024,Custom solution,Opportunity,5,Nurturing,3,14552,60,8/22/2024,
"Balistreri, Roberts and Gottlieb",Portugal,IT & IT Services,Large,Jessica Martinez,2/12/2024,SAAS,Opportunity,5,Nurturing,3,5806,10,4/8/2024,
"Armstrong, Schaefer and Upton",France,Telecommunications,Large,Jessica Martinez,3/12/2024,SAAS,Opportunity,5,Nurturing,3,8727,100,11/19/2024,
Ryan LLC,Switzerland,Professional Services  & Consulting,Large,David Wilson,4/2/2024,Services,Opportunity,5,Nurturing,3,9186,60,10/21/2024,
Bode-Kautzer,France,Transportation & Logistics,Large,Kevin Anderson,2/27/2024,SAAS,Opportunity,5,Nurturing,3,9819,50,7/16/2024,
"Bauch, Hamill and Johns",Switzerland,Construction & Engineering,Large,Laura Thompson,2/6/2024,SAAS,Opportunity,5,Nurturing,3,16771,40,3/30/2024,
Schultz Group,Switzerland,Transportation & Logistics,Enterprise,David Wilson,3/28/2024,Custom solution,Opportunity,5,Nurturing,3,19226,20,6/22/2024,
Robel and Sons,Germany,Manufacturing & Production,Enterprise,Jessica Martinez,2/24/2024,Services,Opportunity,5,Nurturing,3,3087,40,11/13/2024,
Flipbug,Spain,IT & IT Services,Small,Michael Brown,5/11/2024,SAAS,Opportunity,5,Opened,1,391,100,4/5/2025,
Hane-Heller,Germany,IT & IT Services,Small,Jessica Martinez,1/16/2024,Services,Opportunity,5,Opened,1,314,10,6/5/2024,
"Fisher, Jones and Cummerata",Italy,Transportation & Logistics,Small,David Wilson,4/17/2024,Services,Opportunity,5,Opened,1,1628,30,3/9/2025,
Orn and Sons,Italy,Energy & Utilities,Small,Laura Thompson,5/6/2024,SAAS,Opportunity,5,Opened,1,1546,60,4/22/2025,
O'Connell Inc,Netherlands,Retail & Distribution,Small,Kevin Anderson,3/11/2024,SAAS,Opportunity,5,Opened,1,1925,50,3/3/2025,
Ferry Inc,Switzerland,Transportation & Logistics,Small,Kevin Anderson,5/21/2024,SAAS,Opportunity,5,Opened,1,469,50,3/9/2025,
Dibbert-Fahey,Portugal,Banking and Finance,Small,Laura Thompson,3/30/2024,SAAS,Opportunity,5,Opened,1,234,40,10/2/2024,
Sipes-Kautzer,France,Energy & Utilities,Small,Michael Brown,4/6/2024,Services,Opportunity,5,Opened,1,1890,100,11/29/2024,
Harris-Yost,Belgium,Entertainment & Media & Hospitality,Small,Laura Thompson,4/7/2024,Services,Opportunity,5,Opened,1,536,20,7/21/2024,
Schinner-Daugherty,Belgium,Banking and Finance,Small,Jessica Martinez,5/23/2024,SAAS,Opportunity,5,Opened,1,1982,30,9/19/2024,
"Barrows, Kihn and Bergnaum",Italy,Banking and Finance,Small,Jessica Martinez,5/27/2024,SAAS,Opportunity,5,Opened,1,769,60,10/23/2024,
"Schultz, Lind and Jenkins",Switzerland,Banking and Finance,Small,David Wilson,3/16/2024,Services,Opportunity,5,Opened,1,1700,20,1/10/2025,
Kohler-Boyle,Austria,Agriculture & Mining,Small,Laura Thompson,2/11/2024,Services,Opportunity,5,Opened,1,1573,30,11/17/2024,
Kirlin-Wilderman,Netherlands,Manufacturing & Production,Small,Sarah Davis,3/1/2024,Custom solution,Opportunity,5,Opened,1,1399,30,11/4/2024,
O'Hara-Kihn,Italy,Education & Science,Small,Michael Brown,1/24/2024,SAAS,Opportunity,5,Opened,1,1567,70,6/8/2024,
"Hirthe, Runolfsson and Farrell",Switzerland,Education & Science,Small,Jessica Martinez,1/13/2024,SAAS,Opportunity,5,Opened,1,1456,20,11/10/2024,
"Towne, Mohr and Emard",Italy,IT & IT Services,Small,Jessica Martinez,4/28/2024,SAAS,Opportunity,5,Opened,1,1134,40,10/2/2024,
Wilkinson Inc,Switzerland,Banking and Finance,Small,John Smith,1/14/2024,SAAS,Opportunity,5,Opened,1,1418,100,11/13/2024,
"Goldner, Stracke and Ryan",Austria,Recreation & Sports,Small,Laura Thompson,1/22/2024,Services,Opportunity,5,Opened,1,1994,70,9/22/2024,
"Olson, Runte and Ferry",Austria,Professional Services  & Consulting,Small,Sarah Davis,3/10/2024,SAAS,Opportunity,5,Opened,1,597,40,4/5/2024,
Pacocha-O'Hara,Germany,Professional Services  & Consulting,Small,Jessica Martinez,5/1/2024,Services,Opportunity,5,Opened,1,1332,90,11/3/2024,
"Spinka, Parisian and Daniel",Germany,IT & IT Services,Small,Laura Thompson,4/11/2024,Custom solution,Opportunity,5,Opened,1,1600,40,9/9/2024,
"Bergstrom, Dibbert and Witting",Germany,Energy & Utilities,Small,Kevin Anderson,4/3/2024,Services,Opportunity,5,Opened,1,462,90,4/1/2025,
Bergstrom-Farrell,Germany,Transportation & Logistics,Small,Laura Thompson,1/13/2024,SAAS,Opportunity,5,Opened,1,404,40,2/14/2024,
Kayveo,Portugal,Telecommunications,Micro,Jessica Martinez,4/30/2024,Custom solution,Opportunity,5,Opened,1,1000,20,5/23/2024,
Ziemann-Labadie,Belgium,Construction & Engineering,Micro,John Smith,4/1/2024,Custom solution,Opportunity,5,Opened,1,1153,10,12/24/2024,
VonRueden-Mosciski,Germany,Professional Services  & Consulting,Micro,Jessica Martinez,5/1/2024,Services,Opportunity,5,Opened,1,207,10,2/12/2025,
"Roberts, Schaefer and Ortiz",Belgium,Transportation & Logistics,Micro,Emily Johnson,4/9/2024,Services,Opportunity,5,Opened,1,389,50,6/4/2024,
"Hane, Harber and McClure",Italy,Banking and Finance,Micro,Sarah Davis,5/8/2024,SAAS,Opportunity,5,Opened,1,893,30,12/23/2024,
"Haag, Ziemann and Greenfelder",Italy,Entertainment & Media & Hospitality,Micro,John Smith,2/7/2024,SAAS,Opportunity,5,Opened,1,1147,30,8/24/2024,
Senger-Quigley,Belgium,Recreation & Sports,Micro,Jessica Martinez,4/12/2024,SAAS,Opportunity,5,Opened,1,1042,60,11/6/2024,
Carroll-Fahey,Netherlands,Retail & Distribution,Micro,Jessica Martinez,1/31/2024,SAAS,Opportunity,5,Opened,1,1021,30,10/23/2024,
Schneider Group,Spain,Banking and Finance,Micro,Michael Brown,4/10/2024,SAAS,Opportunity,5,Opened,1,729,100,11/15/2024,
"Mertz, Hodkiewicz and Howell",Italy,Retail & Distribution,Micro,Jessica Martinez,3/7/2024,Services,Opportunity,5,Opened,1,271,20,7/1/2024,
Cartwright and Sons,Switzerland,Professional Services  & Consulting,Micro,Jessica Martinez,1/11/2024,SAAS,Opportunity,5,Opened,1,386,40,5/2/2024,
"Sauer, Kozey and Mohr",Austria,Education & Science,Micro,Laura Thompson,1/28/2024,SAAS,Opportunity,5,Opened,1,746,30,7/25/2024,
Yundt-Denesik,Austria,Professional Services  & Consulting,Micro,Michael Brown,1/5/2024,Custom solution,Opportunity,5,Opened,1,1083,20,7/8/2024,
"Graham, Moen and Mosciski",Italy,Retail & Distribution,Micro,Jessica Martinez,4/6/2024,Services,Opportunity,5,Opened,1,717,50,8/11/2024,
Adams Inc,France,IT & IT Services,Micro,Michael Brown,4/12/2024,SAAS,Opportunity,5,Opened,1,385,60,1/13/2025,
"Tillman, Kessler and Bechtelar",Portugal,Manufacturing & Production,Micro,Laura Thompson,1/13/2024,SAAS,Opportunity,5,Opened,1,532,100,5/7/2024,
King-Weissnat,Italy,IT & IT Services,Micro,Jessica Martinez,3/10/2024,Custom solution,Opportunity,5,Opened,1,615,60,12/3/2024,
Bluezoom,Portugal,Recreation & Sports,Medium,David Wilson,3/21/2024,Custom solution,Opportunity,5,Opened,1,1042,60,12/20/2024,
Thoughtworks,Switzerland,Construction & Engineering,Medium,Michael Brown,2/9/2024,Custom solution,Opportunity,5,Opened,1,7375,30,1/19/2025,
Skipstorm,Germany,Energy & Utilities,Medium,Michael Brown,3/25/2024,Services,Opportunity,5,Opened,1,2976,30,6/1/2024,
Snaptags,Belgium,Banking and Finance,Medium,Kevin Anderson,1/4/2024,Services,Opportunity,5,Opened,1,1111,20,8/28/2024,
Photofeed,Spain,Construction & Engineering,Medium,Laura Thompson,5/11/2024,SAAS,Opportunity,5,Opened,1,1978,20,10/28/2024,
Larkin-Glover,Italy,Transportation & Logistics,Medium,Laura Thompson,4/12/2024,SAAS,Opportunity,5,Opened,1,2355,20,9/26/2024,
Conroy-Keeling,Netherlands,Government Administration Healthcare,Medium,Sarah Davis,3/31/2024,Services,Opportunity,5,Opened,1,1935,20,11/1/2024,
Ratke-Abshire,France,Banking and Finance,Medium,Emily Johnson,4/9/2024,SAAS,Opportunity,5,Opened,1,837,80,3/4/2025,
Quigley and Sons,Germany,Transportation & Logistics,Medium,Laura Thompson,3/18/2024,SAAS,Opportunity,5,Opened,1,1774,50,5/8/2024,
O'Keefe and Sons,France,Transportation & Logistics,Medium,Laura Thompson,2/25/2024,SAAS,Opportunity,5,Opened,1,1964,60,2/20/2025,
"Rogahn, Nolan and Bernhard",Italy,Transportation & Logistics,Medium,Kevin Anderson,5/15/2024,Services,Opportunity,5,Opened,1,3157,100,10/15/2024,
"Braun, Swaniawski and Harris",Italy,Transportation & Logistics,Medium,John Smith,4/18/2024,Custom solution,Opportunity,5,Opened,1,6618,10,1/31/2025,
Cartwright-Hodkiewicz,Belgium,Banking and Finance,Medium,Laura Thompson,3/23/2024,Services,Opportunity,5,Opened,1,7091,50,9/5/2024,
Goyette Inc,Belgium,Manufacturing & Production,Medium,Kevin Anderson,2/29/2024,SAAS,Opportunity,5,Opened,1,1898,40,2/8/2025,
"Halvorson, Walker and White",Portugal,Entertainment & Media & Hospitality,Medium,Michael Brown,3/5/2024,Custom solution,Opportunity,5,Opened,1,3098,20,5/20/2024,
McGlynn-Watsica,Portugal,Construction & Engineering,Medium,John Smith,3/2/2024,SAAS,Opportunity,5,Opened,1,2741,30,12/5/2024,
Kertzmann Group,Italy,Transportation & Logistics,Medium,Michael Brown,1/14/2024,Custom solution,Opportunity,5,Opened,1,4042,30,11/19/2024,
"Kirlin, Bruen and Legros",Netherlands,Transportation & Logistics,Medium,Jessica Martinez,2/25/2024,Services,Opportunity,5,Opened,1,3123,40,7/30/2024,
Okuneva-Gislason,France,Banking and Finance,Medium,Kevin Anderson,4/14/2024,Services,Opportunity,5,Opened,1,5056,80,5/4/2024,
"Stanton, Mayer and Sauer",Germany,Transportation & Logistics,Medium,Jessica Martinez,5/18/2024,SAAS,Opportunity,5,Opened,1,1422,30,6/30/2024,
Pagac-Farrell,Spain,Agriculture & Mining,Medium,Kevin Anderson,5/10/2024,Services,Opportunity,5,Opened,1,1671,100,10/2/2024,
"Trantow, O'Keefe and Hyatt",France,Education & Science,Large,Laura Thompson,5/21/2024,SAAS,Opportunity,5,Opened,1,13700,50,1/20/2025,
Thiel LLC,France,Professional Services  & Consulting,Enterprise,Kevin Anderson,2/10/2024,SAAS,Opportunity,5,Opened,1,13263,50,1/1/2025,
Corkery-Little,Belgium,Telecommunications,Enterprise,Sarah Davis,1/7/2024,SAAS,Opportunity,5,Opened,1,5197,40,6/8/2024,
Youopia,France,Professional Services  & Consulting,Small,John Smith,2/14/2024,Services,Opportunity,5,Proposal sent,4,1527,40,3/7/2024,
Wikizz,Spain,Manufacturing & Production,Small,Kevin Anderson,3/29/2024,Services,Opportunity,5,Proposal sent,4,720,100,7/24/2024,
Feednation,France,Transportation & Logistics,Small,Emily Johnson,2/19/2024,Custom solution,Opportunity,5,Proposal sent,4,1310,20,1/13/2025,
Fiveclub,Netherlands,Entertainment & Media & Hospitality,Small,Jessica Martinez,3/14/2024,Custom solution,Opportunity,5,Proposal sent,4,1605,40,1/29/2025,
Cassin-Schmeler,France,Banking and Finance,Small,Emily Johnson,3/9/2024,Services,Opportunity,5,Proposal sent,4,838,100,12/26/2024,
"Murazik, Konopelski and McLaughlin",Germany,Professional Services  & Consulting,Small,Michael Brown,3/9/2024,Services,Opportunity,5,Proposal sent,4,708,40,1/18/2025,
"Dibbert, Jacobi and Rippin",Switzerland,Entertainment & Media & Hospitality,Small,Michael Brown,1/3/2024,Services,Opportunity,5,Proposal sent,4,1391,60,7/8/2024,
"Wilderman, Nicolas and Sanford",Germany,Professional Services  & Consulting,Small,Jessica Martinez,4/23/2024,SAAS,Opportunity,5,Proposal sent,4,826,60,7/23/2024,
"Maggio, Sanford and Rodriguez",Netherlands,Education & Science,Small,Jessica Martinez,1/16/2024,SAAS,Opportunity,5,Proposal sent,4,1174,40,6/16/2024,
"Feil, O'Keefe and Skiles",Spain,Energy & Utilities,Small,Laura Thompson,3/5/2024,Services,Opportunity,5,Proposal sent,4,1245,20,11/6/2024,
Kutch-Weimann,Austria,Banking and Finance,Small,Michael Brown,2/2/2024,SAAS,Opportunity,5,Proposal sent,4,1215,30,7/16/2024,
"Braun, Stroman and Terry",Switzerland,Banking and Finance,Small,Laura Thompson,3/19/2024,Custom solution,Opportunity,5,Proposal sent,4,1203,40,12/4/2024,
Farrell Inc,Spain,Manufacturing & Production,Small,Laura Thompson,2/10/2024,Custom solution,Opportunity,5,Proposal sent,4,1325,50,3/4/2024,
"Stark, Lueilwitz and Boyle",Switzerland,IT & IT Services,Small,Laura Thompson,4/27/2024,SAAS,Opportunity,5,Proposal sent,4,1856,20,4/14/2025,
Wilderman-Kunze,Italy,Transportation & Logistics,Small,Jessica Martinez,3/16/2024,Custom solution,Opportunity,5,Proposal sent,4,663,50,10/20/2024,
Rowe-Volkman,Netherlands,IT & IT Services,Small,Jessica Martinez,2/29/2024,SAAS,Opportunity,5,Proposal sent,4,1589,30,10/25/2024,
Towne-Mayer,Portugal,Agriculture & Mining,Small,Jessica Martinez,3/14/2024,Services,Opportunity,5,Proposal sent,4,1153,20,2/15/2025,
"Franecki, Torphy and Hayes",Portugal,Recreation & Sports,Small,Jessica Martinez,3/13/2024,SAAS,Opportunity,5,Proposal sent,4,1084,50,11/13/2024,
O'Conner-Gibson,Italy,Transportation & Logistics,Small,Michael Brown,2/23/2024,SAAS,Opportunity,5,Proposal sent,4,541,80,5/4/2024,
Adams-Casper,France,Transportation & Logistics,Small,Jessica Martinez,2/27/2024,SAAS,Opportunity,5,Proposal sent,4,694,40,12/26/2024,
Crist LLC,Austria,Professional Services  & Consulting,Small,Laura Thompson,3/6/2024,SAAS,Opportunity,5,Proposal sent,4,416,20,11/4/2024,
Schmeler-Bayer,Austria,Construction & Engineering,Small,Michael Brown,1/20/2024,SAAS,Opportunity,5,Proposal sent,4,1693,10,9/28/2024,
Ferry-Weber,Netherlands,Banking and Finance,Small,Laura Thompson,5/6/2024,Services,Opportunity,5,Proposal sent,4,1516,20,7/14/2024,
Weber Group,Switzerland,Banking and Finance,Small,Laura Thompson,5/21/2024,SAAS,Opportunity,5,Proposal sent,4,1172,60,4/24/2025,
McKenzie Inc,Portugal,Entertainment & Media & Hospitality,Small,Jessica Martinez,3/23/2024,Services,Opportunity,5,Proposal sent,4,1829,30,4/26/2024,
Hermiston Inc,Germany,Telecommunications,Small,Jessica Martinez,2/19/2024,SAAS,Opportunity,5,Proposal sent,4,785,30,6/14/2024,
Jones Group,Italy,IT & IT Services,Small,Michael Brown,3/23/2024,SAAS,Opportunity,5,Proposal sent,4,1699,30,3/7/2025,
"Bernhard, Stokes and Carroll",Portugal,Agriculture & Mining,Small,David Wilson,2/1/2024,SAAS,Opportunity,5,Proposal sent,4,697,70,3/29/2024,
O'Connell-Deckow,Switzerland,Manufacturing & Production,Small,Laura Thompson,3/24/2024,Custom solution,Opportunity,5,Proposal sent,4,1971,40,8/20/2024,
